chrom	start	end	exon_0	exon_1	exon_2	exon_3	exon_4	exon_5	exon_6	exon_7
chr14	20343615	20343687	1	1	0	0	0	0	0	0
chr14	20344932	20345126	1	1	0	0	0	0	0	0
chr14	20345394	20345464	1	1	0	0	0	0	0	0
chr14	20346863	20346913	1	1	0	0	0	0	0	0
chr14	20350526	20350622	1	0	0	0	0	0	0	0
chr14	20350699	20351122	1	0	1	0	0	0	0	0
chr14	20352245	20352347	1	1	1	0	0	0	0	0
chr14	20352513	20353003	0	0	0	1	0	0	0	0
chr14	20354085	20354247	1	1	1	1	0	0	0	0
chr14	20354642	20354947	1	1	0	0	1	0	0	0
chr14	20355161	20355815	1	0	0	0	1	1	1	0
chr14	20355897	20356031	1	0	0	0	1	1	1	1
chr14	20356307	20356750	1	0	0	0	0	1	1	1
chr14	20357051	20357904	1	0	0	0	0	0	1	0
